242	8.31025	8.08434
243	8.31419	8.08538
244	8.31814	8.08643
245	8.32211	8.08749
246	8.3261	8.08856
247	8.33011	8.08965
248	8.33413	8.09074
249	8.33818	8.09184
250	8.34224	8.09296
251	8.34632	8.09408
252	8.35041	8.09521
253	8.35452	8.09636
254	8.35865	8.09752
255	8.3628	8.09868
256	8.36696	8.09986
257	8.37114	8.10105
258	8.37534	8.10224
259	8.37955	8.10345
260	8.38377	8.10467
261	8.38801	8.1059
262	8.39227	8.10714
263	8.39654	8.1084
264	8.40083	8.10966
265	8.40513	8.11093
266	8.40945	8.11222
267	8.41378	8.11351
268	8.41813	8.11482
269	8.42249	8.11613
270	8.42687	8.11746
271	8.43126	8.1188
272	8.43566	8.12015
273	8.44008	8.12151
274	8.44451	8.12288
275	8.44895	8.12426
276	8.45341	8.12566
277	8.45788	8.12706
278	8.46236	8.12847
279	8.46686	8.1299
280	8.47136	8.13134
281	8.47589	8.13278
282	8.48042	8.13424
283	8.48496	8.13571
284	8.48952	8.13719
285	8.49409	8.13868
286	8.49867	8.14018
287	8.50326	8.1417
288	8.50787	8.14322
289	8.51248	8.14476
290	8.51711	8.1463
291	8.52175	8.14786
292	8.5264	8.14943
293	8.53106	8.15101
294	8.53573	8.1526
295	8.54041	8.1542
296	8.5451	8.15581
297	8.5498	8.15743
298	8.55451	8.15907
299	8.55924	8.16071
300	8.56397	8.16237
301	8.56871	8.16403
302	8.57346	8.16571
303	8.57822	8.1674
304	8.58299	8.1691
305	8.58777	8.17081
306	8.59256	8.17253
307	8.59735	8.17426
308	8.60216	8.17601
309	8.60698	8.17776
310	8.6118	8.17953
311	8.61663	8.1813
312	8.62147	8.18309
313	8.62632	8.18489
314	8.63118	8.18669
315	8.63604	8.18851
316	8.64092	8.19034
317	8.6458	8.19218
318	8.65069	8.19404
319	8.65558	8.1959
320	8.66049	8.19777
321	8.6654	8.19966
322	8.67032	8.20155
323	8.67525	8.20346
324	8.68018	8.20537
325	8.68512	8.2073
326	8.69007	8.20924
327	8.69502	8.21119
328	8.69998	8.21315
329	8.70495	8.21512
330	8.70992	8.2171
331	8.7149	8.21909
332	8.71989	8.22109
333	8.72488	8.22311
334	8.72988	8.22513
335	8.73489	8.22716
336	8.7399	8.22921
337	8.74492	8.23126
